id,followers,username,own_time,last_time,Hop,Non_follower
1344814370182848514,332,dannyinthebible,20847,667808,2,0
881980681630478338,718,_doe_____,20842,667808,1,0
1638147093687574529,10,AustinNtobela,20842,20842,1,0
1313746699874115584,1172,TsevasS,20842,667808,1,0
2996123698,1056,deftword,20767,667808,3,0
1153013232732385285,140,isaxotwod,20759,667808,1,0
1222115276818452480,92,AugustxMxniz,20735,20735,1,0
1107129811388915712,115,josephcarrera9,20732,20732,0,1
1227837853,882,PabloNogales7,20720,20720,1,0
1000457696771010561,378,badideasve,20698,667808,1,0
419062290,1304,jaytrey42,20681,23864,1,0
