id,time,type,prev_id,Engagement_index,Hop,Non_follower
1423041714214694914,48623,like,1423041714214694914,0,2,0
1157974227250819072,48623,like,1157974227250819072,0,3,0
1115332042005336064,48623,like,1115332042005336064,0,2,0
1119260106078785536_1,48696,like,1119260106078785536,1,2,0
1449650425083408385,48696,like,1449650425083408385,0,0,1
1095910296571596801,48696,like,1095910296571596801,0,1,0
1221401266984714241_1,48696,like,1221401266984714241,1,3,0
1062189426082803712,48696,like,1062189426082803712,0,1,0
137109445,48696,like,137109445,0,1,0
1138047253887803392_1,48696,like,1138047253887803392,1,3,0
1253035145411670018,48696,like,1253035145411670018,0,0,1
1070102566837473280,48696,like,1070102566837473280,0,0,1
1101326527,48696,like,1101326527,0,3,0
3015613859,48696,like,3015613859,0,1,0
1037563682820182017,48696,like,1037563682820182017,0,0,1
1157296387559739392,48696,like,1157296387559739392,0,2,0
1352755453604802572,48768,like,1352755453604802572,0,3,0
4061250500,48768,like,4061250500,0,2,0
1173851645454802944,48768,like,1173851645454802944,0,0,1
1355293135174295561,48768,like,1355293135174295561,0,2,0
257316131,48768,like,257316131,0,1,0
1557053418274844672_1,48768,like,1557053418274844672,1,0,0
140279892,48768,like,140279892,0,3,0
1073034874632720384,48768,like,1073034874632720384,0,0,1
1128327807128547329,48768,like,1128327807128547329,0,1,0
1408521470066757634,48768,like,1408521470066757634,0,2,0
872126118,48768,like,872126118,0,2,0
2274136485,48768,like,2274136485,0,1,0
3000040874,48768,like,3000040874,0,1,0
136165646,48768,like,136165646,0,1,0
1267270309448646661,48768,like,1267270309448646661,0,2,0
762265629911121920,48768,like,762265629911121920,0,1,0
278286739,48840,like,278286739,0,1,0
1652575020,48840,like,1652575020,0,1,0
182152966,48840,like,182152966,0,1,0
872145555711045633,48840,like,872145555711045633,0,2,0
2444923808,48840,like,2444923808,0,2,0
836281133260222464,48840,like,836281133260222464,0,2,0
3350362960,48840,like,3350362960,0,2,0
1243985296036900866,48840,like,1243985296036900866,0,2,0
1292196936469143552,48840,like,1292196936469143552,0,2,0
1448701681001287683,48840,like,1448701681001287683,0,0,1
1679142644,48840,like,1679142644,0,0,1
1255518500011085828,48840,like,1255518500011085828,0,2,0
1246895540232753158,48840,like,1246895540232753158,0,2,0
1545446918997901313,48840,like,1545446918997901313,0,0,1
1366052664514125827,48840,like,1366052664514125827,0,0,1
968972694,48840,like,968972694,0,2,0
1581185541030252546_1,48840,like,1581185541030252546,1,2,0
1332795506087637002_1,48840,like,1332795506087637002,1,2,0
701102985414320128,48840,like,701102985414320128,0,2,0
2505029461,48912,like,2505029461,0,0,1
361958425,48912,like,361958425,0,2,0
1153502562638864385,48912,like,1153502562638864385,0,2,0
1144345120600444928,48912,like,1144345120600444928,0,0,1
1151921030174302216,48912,like,1151921030174302216,0,3,0
3438997463,48912,like,3438997463,0,1,0
900115827843899394,48912,like,900115827843899394,0,2,0
1170929317317988352,48912,like,1170929317317988352,0,1,0
35092317,48912,like,35092317,0,3,0
1700939269,48912,like,1700939269,0,2,0
1424273272007430150,48912,like,1424273272007430150,0,2,0
1016722453920473089,48912,like,1016722453920473089,0,2,0
1140113963600007169,48912,like,1140113963600007169,0,1,0
1366136323174772738,48912,like,1366136323174772738,0,1,0
2883937188_1,48912,like,2883937188,1,1,0
958312992554221570,48912,like,958312992554221570,0,1,0
448692236,48984,like,448692236,0,1,0
1005484922373640192,48984,like,1005484922373640192,0,3,0
2568859389,48984,like,2568859389,0,2,0
1017520603635638272,48984,like,1017520603635638272,0,1,0
1439794489703292929,48984,like,1439794489703292929,0,0,1
1394858310,48984,like,1394858310,0,3,0
1241075591773851649,48984,like,1241075591773851649,0,2,0
2762905232,48984,like,2762905232,0,2,0
330119507_1,48984,like,330119507,1,2,0
533253197,48984,like,533253197,0,0,1
