Source,Target,follower
1543274074297737221,1588979702298984448,1
1543274074297737221,1318993489397514241,1
1543274074297737221,1477437196894310402,1
1543274074297737221,2744079725,1
1543274074297737221,2744079725,1
1543274074297737221,931304775714557952,1
1543274074297737221,1574130373742706695,1
1543274074297737221,1365195847617634305,1
1543274074297737221,1381208533153239046,1
1543274074297737221,1551440835153108993,1
1543274074297737221,1605434961728782337,1
1543274074297737221,990824025889820673,1
1543274074297737221,761435296584138752,1
1543274074297737221,1251740395572269056,1
1543274074297737221,1607858430928117761,1
1543274074297737221,1006745276722372612,1
1543274074297737221,761435296584138752,1
1543274074297737221,1488064526255853576,1
1543274074297737221,1510811430194495490,1
1543274074297737221,1537038738005581824,1
1543274074297737221,1109489742507319302,1
1543274074297737221,1457537501095149569,1
1543274074297737221,1479902506541101056,1
1543274074297737221,1573642700414484482,1
1543274074297737221,972601644562239493,1
1543274074297737221,1577189965313761280,1
1543274074297737221,2168376014,1
1543274074297737221,1412979412153339904,1
1543274074297737221,1421311459254960129,1
1543274074297737221,3156860298,1
1543274074297737221,1160671062,1
1543274074297737221,1208829008584085505,1
1543274074297737221,1567252009799286784,1
1543274074297737221,1428928739572862993,1
1543274074297737221,1079204665982500864,1
1543274074297737221,1567735776149897216,1
1543274074297737221,1576409796462395392,1
1543274074297737221,1314298497131147265,1
1543274074297737221,2753300521,1
1543274074297737221,1521818538473840643,1
1543274074297737221,938611311046545408,1
1543274074297737221,1322360689210568706,1
1543274074297737221,1229608542535024641,1
1543274074297737221,3601905025,1
1543274074297737221,1558921015199154179,1
1543274074297737221,1078887394860969985,1
1543274074297737221,1429460569128591367,1
1543274074297737221,1140718813060616193,1
1543274074297737221,1326876434237894656,1
1543274074297737221,1479938388778180609,1
1543274074297737221,1027244697213972481,1
1543274074297737221,935623127698231296,1
1543274074297737221,1449329239153577988,1
1543274074297737221,1384123725973385221,1
1543274074297737221,1161518003604873217,1
1543274074297737221,1522310622121054211,1
1543274074297737221,1261134243855347712,1
1543274074297737221,1347337535765168129,1
1543274074297737221,1555986958568005638,1
1543274074297737221,1186475972893261824,1
1543274074297737221,1616264879781838849,1
1543274074297737221,1428762668350025729,1
1543274074297737221,51863154,1
1543274074297737221,1096951526424281088,1
1543274074297737221,1609971386981945345,1
1543274074297737221,1404681128565485570,1
1543274074297737221,1609971386981945345,1
1543274074297737221,1541930683375157248,1
1543274074297737221,1507876816136151047,1
1543274074297737221,1103144775056793600,1
1543274074297737221,1233179001662902272,1
1543274074297737221,1596743772036997120,1
1543274074297737221,1132333287769346049,1
1543274074297737221,1480234646893785090,1
1543274074297737221,1148346738807365640,1
1543274074297737221,878595069837582338,1
1543274074297737221,4675224210,1
1543274074297737221,1539437727749480448,1
1543274074297737221,1382511216422191109,1
1543274074297737221,341286273,1
1543274074297737221,341286273,1
1543274074297737221,1021054742053752832,1
1543274074297737221,1583465000164904962,1
1543274074297737221,758262482498490369,1
1543274074297737221,2458251281,1
1543274074297737221,1617197585286021124,1
1543274074297737221,1383901675660869637,1
1543274074297737221,1506423107308900363,1
1543274074297737221,1256255225146609667,1
1543274074297737221,1505244543456796676,1
1543274074297737221,1473753129908908035,1
1543274074297737221,1587726123667972097,1
1543274074297737221,1551855818857148416,1
1543274074297737221,1530987498855350272,1
1543274074297737221,1605609098459979786,1
1543274074297737221,1468940178165100544,1
1543274074297737221,1205744922546053120,1
1543274074297737221,1505361029609500672,1
1543274074297737221,1565026223474057216,1
1543274074297737221,1565026223474057216,1
1543274074297737221,1562363538454106112,1
1543274074297737221,1071674963768344577,1
1543274074297737221,1056886264207720448,1
1543274074297737221,1601298406525308930,1
1543274074297737221,1632814242,1
