Source,Target,T1610105053498449920,T1606110907838316544,T1604653731873800194,T1604179897274011652,T1597648648531505152
tommyades_,jalenbrunson1,1,1,1,2,1
jaek_up,jalenbrunson1,1,2,1,1,1
bmo_chop95,jalenbrunson1,2,2,2,1,2
BrickyBricardo,jalenbrunson1,2,1,1,1,1
simobarbio,jalenbrunson1,2,1,1,1,1
jhyphenmike,jalenbrunson1,1,1,1,2,1
KnicksJack,jalenbrunson1,1,1,1,2,1
WalrusTM,jalenbrunson1,1,2,2,1,1
bxburner718,jalenbrunson1,1,1,1,1,2
NovaGal47,jalenbrunson1,1,1,1,2,1
kopf_johnny,jalenbrunson1,2,2,2,1,2
errrbodyluv4k,jalenbrunson1,1,2,1,1,1
XOTWODNYK,jalenbrunson1,2,1,1,1,1
BrandonOlsh,jalenbrunson1,2,1,1,1,1
jimmybycicle,jalenbrunson1,2,1,1,2,1
jjgidwani12,jalenbrunson1,1,1,1,2,1
ish_slim,jalenbrunson1,2,2,2,1,2
BanditOnBandit,jalenbrunson1,2,1,1,1,1
Rbo90z,jalenbrunson1,2,1,1,1,1
clh14210,jalenbrunson1,2,1,1,1,1
Izzythenyrfan,jalenbrunson1,1,1,1,2,1
JohnTypes,jalenbrunson1,1,2,1,1,1
OfficiaIEvan,jalenbrunson1,2,1,1,1,1
TeRRoRR,jalenbrunson1,2,2,2,1,2
luminosa98,jalenbrunson1,2,2,2,1,2
FlightRap32,jalenbrunson1,1,1,2,1,1
paolothecatdad,jalenbrunson1,1,1,1,2,1
vuwildcat07,jalenbrunson1,1,1,1,1,2
LionLongcrest,jalenbrunson1,1,2,1,1,1
MaxKeplerGOAT,jalenbrunson1,2,1,1,1,1
Tracey1Reid,jalenbrunson1,2,1,1,1,1
slimezii,jalenbrunson1,1,2,1,1,1
Philthegoat__,jalenbrunson1,2,1,1,1,1
Joseph_B59,jalenbrunson1,1,1,1,2,1
SHRIMPFRIEDFLEE,jalenbrunson1,1,1,1,2,1
cruzsteelski,jalenbrunson1,1,1,1,2,1
JoeySmoke14,jalenbrunson1,1,1,1,1,2
BrainboxCharlie,jalenbrunson1,1,1,1,2,1
Brodyson87,jalenbrunson1,1,1,1,2,1
vincntvrs,jalenbrunson1,1,2,1,1,1
knicks4life80,jalenbrunson1,1,2,1,1,1
danner_emma15,jalenbrunson1,2,1,1,1,1
samirsnipez,jalenbrunson1,1,1,1,2,1
Retrohan,jalenbrunson1,1,1,1,2,1
Nexzyyyyy,tottisharp,2,2,2,2,2
Truth67001527,TheKnicksWall,2,2,2,2,2
kristapzolikina,TheKnicksWall,2,2,2,2,2
CharlieWayy_,nyknicks,1,2,1,1,1
tillerszznn,TheKnicksWall,2,1,1,1,1
Povediitz,nyknicks,1,1,1,2,1
Flxw29,TheKnicksWall,1,1,1,2,1
Manuel_Arispe_3,TheNBPA,2,1,1,1,1
_Zhrly,nyknicks,1,1,1,2,1
robtorrescomedy,nyknicks,2,1,1,1,1
whoisgaryb,nyknicks,1,1,1,2,1
_Joaquin05,nyknicks,1,1,2,1,1
_FatPapiOrtiz,nyknicks,2,1,1,1,1
rahmmagick,BrownsvilleNYK,1,2,1,1,1
