Source,Target,t1612576063296622614,t1612576063296622614_time,t1612509545192120320,t1612509545192120320_time,t1612503789772148748,t1612503789772148748_time,t1612276811546742784,t1612276811546742784_time,t1612273411082031108,t1612273411082031108_time,t1612269254149312512,t1612269254149312512_time,t1612263492634943491,t1612263492634943491_time
alex_fetters,dallasmavs,4,582,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
Cbasschronicles,dallasmavs,4,7848,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
rashidnyc,dallasmavs,4,2542,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
susannah21,dallasmavs,4,1648,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
OUSooners1434,dallasmavs,3,-1,3,-1,3,-1,4,1162,3,-1,3,-1,3,-1
konobijuda,dallasmavs,4,2741,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
ChellGod7,dallasmavs,4,2384,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
kinneTrill,dallasmavs,4,6010,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
OwenManning19,dallasmavs,4,603,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
jacjax02,dallasmavs,4,2536,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
sinai_diaz_,dallasmavs,4,847,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
tsmitty0326,dallasmavs,3,-1,3,-1,3,-1,4,968,3,-1,3,-1,3,-1
Elizabe50712881,dallasmavs,4,6324,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
StarLordLegoGod,dallasmavs,3,-1,3,-1,3,-1,4,1040,3,-1,3,-1,3,-1
TreRamsey2,dallasmavs,4,1544,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
thersburner,dallasmavs,4,4734,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
jackemers,dallasmavs,4,8029,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
OneHandHollis,dallasmavs,4,1463,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
dylanwadeburris,dallasmavs,4,3075,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
DavDav97,dallasmavs,4,2434,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
CryptoKnight19,dallasmavs,3,-1,3,-1,3,-1,3,-1,4,612,3,-1,3,-1
dawsongolf1234,dallasmavs,4,756,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
StevenBeatrice,dallasmavs,4,3665,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
TdotRaptors4li1,dallasmavs,4,10176,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
1Mortify,dallasmavs,4,11246,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
joellenagy,dallasmavs,4,1602,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
tommywinter_,dallasmavs,4,3100,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
MahomesMichelle,dallasmavs,4,9027,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
canturam13,dallasmavs,4,6413,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
ShelbyRaye27,dallasmavs,4,6940,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
BigMeezzy,dallasmavs,4,7896,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
DJDeeJay97,dallasmavs,4,2536,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
krikalika,dallasmavs,3,-1,4,14569,3,-1,4,40661,3,-1,3,-1,3,-1
FloridaCrackhe1,dallasmavs,4,6817,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
odaat7777,dallasmavs,4,2068,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
mtresmor,dallasmavs,4,21374,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
SarahLWoodruff,dallasmavs,4,7328,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
Peyote231,dallasmavs,4,3215,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
bostoncowboy14,dallasmavs,4,587,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
PlayoffMakar,dallasmavs,4,2317,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
bianchiwv,dallasmavs,4,3260,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
clayton_vanelst,dallasmavs,4,7201,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
johnnydavis00,dallasmavs,4,7864,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
LeedsUnitedUK,dallasmavs,4,7992,3,-1,3,-1,3,-1,3,-1,3,-1,3,-1
kebutuhankita,dallasmavs,3,-1,3,-1,3,-1,4,2873,3,-1,3,-1,3,-1
