Target,Source
1024756593810915328,1543274074297737221
1024841336908742657,1543274074297737221
1025073239926730752,1267974811571171328
1025073239926730752,1213452324380667910
1025163420612476928,1084613761
1025243014141104130,970264064
1025268468,861294257109381121
1025624967717605376,1464493851800969216
1025624967717605376,407436562
102570332,1543274074297737221
1025798102689738752,1543274074297737221
1025830629269749760,1136667573087608832
1025830629269749760,1035299424
1025830629269749760,2729370851
1026071233,1543274074297737221
1026122174514380805,1543274074297737221
1026141464215138304,1543274074297737221
1026392525072818176,1543274074297737221
1026517672245125120,742358794072559616
1026553306070573057,1543274074297737221
1026786503693819904,1543274074297737221
1027081542,1543274074297737221
1027183975289110529,1543274074297737221
1027244697213972481,1459821989841887235
1027244697213972481,1429460569128591367
1027244697213972481,1302463366959697921
1027244697213972481,1390388083388977156
1027244697213972481,1330004465131286529
1027244697213972481,1248411268257665024
1027244697213972481,1566489804665004032
1027244697213972481,1078887394860969985
1027244697213972481,1551629559195652096
1027244697213972481,1543274074297737221
102725463,1543274074297737221
1027300855480049672,1157622463661928448
1027410356090662912,1543274074297737221
1027863962107359232,1543274074297737221
1028008797913194497,1543274074297737221
1028698671641227264,1543274074297737221
1029184593096781824,3081491108
1029271100,1543274074297737221
1029698200750288896,1064501876530470912
1029744016848572416,875248917037727746
1029744016848572416,2334234049
1029744016848572416,788971248059416576
1029744016848572416,1064708729013194752
1029744016848572416,1079204665982500864
1029769604070076416,1543274074297737221
1029886591542546432,1543274074297737221
1029902845665927169,1543274074297737221
1030121127476187136,1543274074297737221
1030122055545614336,1543274074297737221
1030204141384200194,2671462188
1030211936904994817,1543274074297737221
1030212835966701568,1543274074297737221
1030239005353435137,1543274074297737221
1030264944162267138,1543274074297737221
1030389628392689664,1484253359070756868
1030477375492870144,804411343319093248
1030718498345955328,1543274074297737221
1030730775996420097,1456091606604402689
1030730775996420097,3098699030
1030842913020882944,1543274074297737221
1031317678286364673,1543274074297737221
1031445077065777152,819489228
1031635250428960768,1543274074297737221
1031694979,1543274074297737221
1031726375181451265,1543274074297737221
1031906437,971533284
1032056363826868224,1543274074297737221
1032257101178068993,1543274074297737221
1032260193738838018,732873375584948226
1032424208398053377,1178734808341590016
1032424208398053377,1006678309206405120
